STUDENT ID,Student_Age,Sex,Graduated_high_school_type,Scholarship_type,Additional_work,Regular artistic or sports activity,Do you have a partner,Total_salary_if_available,Transportation to the university,Accommodation_type,Mothers_education,Fathers_education ,Number_of_sisters/brothers,Parental_status,Mothers_occupation,Fathers_occupation,Weekly_study_hours,Reading_frequency_noScience,Reading_frequency_science,Attendance_to_the_seminars,Impact of your projects/activities on your success,Attendance_to_classes,Preparation to midterm exams 1,Preparation to midterm exams 2,Taking notes in classes,Listening in classes,Discussion improves my interest and success in the course,Flip-classroom,Cumulative_GPA,Expected_GPA,COURSE_ID,GRADE
STUDENT89,18-21,male,state,75%,No,Yes,Yes,USD 135-200,Bus,Rental,University,University,1,Married,Government officer,Government officer,Less than 5 hours,Sometimes,Sometimes,Yes,Positive,Always,Alone,Regularly during the semester,Always,Never,Sometimes,Not applicable,Above 3.49,2.50-2.99,Sixth Semester,BA
STUDENT90,22-25,male,state,50%,No,No,No,USD 135-200,Bus,Rental,High school,MSc.,3,Married,Housewife,Government officer,Less than 5 hours,Sometimes,Sometimes,Yes,Positive,Sometimes,Alone,Closest date to the exam,Always,Never,Always,Not applicable,2.50-2.99,2.00-2.49,Sixth Semester,BA
STUDENT91,22-25,female,state,50%,No,Yes,Yes,USD 135-200,Private car/taxi,With family,High school,High school,1,Married,Private sector employee,Government officer,Less than 5 hours,Sometimes,Sometimes,Yes,Positive,Always,Alone,Closest date to the exam,Sometimes,Always,Sometimes,Not applicable,3.00-3.49,2.00-2.49,Sixth Semester,BA
STUDENT92,22-25,male,state,Full,Yes,Yes,Yes,USD 135-200,Bus,Dormitory,University,Primary school,5 or above,Married,Housewife,Private sector employee,Less than 5 hours,Sometimes,Sometimes,Yes,Positive,Always,Alone,Closest date to the exam,Sometimes,Always,Always,Useful,Above 3.49,3.00-3.49,Sixth Semester,BA
STUDENT93,18-21,male,state,50%,No,No,No,USD 135-200,Bus,Rental,High school,University,4,Married,Government officer,Government officer,6-10 hours,Sometimes,Sometimes,Yes,Positive,Always,Alone,Closest date to the exam,Always,Sometimes,Always,Not applicable,2.00-2.49,2.00-2.49,Sixth Semester,AA
STUDENT94,18-21,male,state,None,Yes,No,Yes,USD 135-200,Bus,Dormitory,Primary school,Secondary school,4,Married,Housewife,Private sector employee,More than 20 hours,Sometimes,None,Yes,Positive,Always,Alone,Closest date to the exam,Always,Always,Always,Useful,2.00-2.49,2.00-2.49,Sixth Semester,CB
STUDENT95,22-25,male,state,50%,No,No,Yes,USD 135-200,Bus,Rental,High school,Secondary school,5 or above,Married,Housewife,Other,Less than 5 hours,Sometimes,Often,Yes,Positive,Always,Alone,Closest date to the exam,Always,Sometimes,Sometimes,Not applicable,Above 3.49,3.00-3.49,Sixth Semester,BA
STUDENT96,18-21,male,other,Full,Yes,Yes,Yes,USD 135-200,Private car/taxi,With family,High school,University,1,Married,Housewife,Retired,Less than 5 hours,Sometimes,Often,Yes,Positive,Always,Alone,Closest date to the exam,Always,Sometimes,Sometimes,Not useful,3.00-3.49,2.50-2.99,Seventh Semester,BB
STUDENT97,18-21,male,state,75%,No,Yes,Yes,USD 135-200,Private car/taxi,With family,Secondary school,Secondary school,3,Married,Private sector employee,Government officer,Less than 5 hours,Often,Sometimes,Yes,Positive,Always,Alone,Closest date to the exam,Always,Sometimes,Always,Useful,2.00-2.49,2.50-2.99,Seventh Semester,AA
STUDENT98,18-21,male,state,75%,Yes,No,No,USD 135-200,Bus,With family,High school,High school,4,Married,Housewife,Private sector employee,Less than 5 hours,Sometimes,Sometimes,Yes,Positive,Always,Alone,Closest date to the exam,Always,Sometimes,Sometimes,Not useful,2.50-2.99,2.50-2.99,Seventh Semester,BA
STUDENT99,18-21,male,state,75%,No,Yes,No,USD 135-200,Other,Dormitory,Secondary school,University,2,Married,Housewife,Other,Less than 5 hours,Often,Sometimes,Yes,Positive,Always,Alone,Closest date to the exam,Always,Never,Sometimes,Not useful,3.00-3.49,3.00-3.49,Seventh Semester,AA
STUDENT100,22-25,male,state,50%,No,No,No,USD 135-200,Other,Dormitory,High school,University,2,Married,Housewife,Retired,6-10 hours,Sometimes,Sometimes,Yes,Positive,Always,Alone,Closest date to the exam,Always,Sometimes,Always,Useful,2.00-2.49,2.00-2.49,Seventh Semester,AA
STUDENT101,18-21,male,state,75%,No,No,No,USD 135-200,Private car/taxi,With family,University,Primary school,2,Married,Government officer,Private sector employee,Less than 5 hours,Sometimes,Sometimes,Yes,Positive,Always,Alone,Closest date to the exam,Sometimes,Sometimes,Sometimes,Not useful,2.50-2.99,2.50-2.99,Seventh Semester,BA
STUDENT102,18-21,male,state,75%,No,No,Yes,USD 201-270,Bus,With family,Secondary school,High school,1,Married,Housewife,Self-employment,Less than 5 hours,Sometimes,Sometimes,Yes,Positive,Always,Alone,Closest date to the exam,Always,Always,Sometimes,Not useful,2.00-2.49,2.50-2.99,Seventh Semester,AA
STUDENT103,18-21,male,state,50%,No,No,Yes,USD 135-200,Bus,Dormitory,High school,Primary school,1,Divorced,Private sector employee,Self-employment,Less than 5 hours,Sometimes,Sometimes,No,Positive,Always,Alone,Closest date to the exam,Always,Never,Sometimes,Not useful,2.50-2.99,3.00-3.49,Seventh Semester,AA
STUDENT104,18-21,male,private,75%,No,No,Yes,above 410,Bus,Dormitory,Primary school,High school,4,Married,Housewife,Retired,Less than 5 hours,Often,Sometimes,Yes,Positive,Always,Alone,Closest date to the exam,Sometimes,Sometimes,Always,Useful,3.00-3.49,3.00-3.49,Seventh Semester,AA
STUDENT105,18-21,female,state,50%,No,No,No,USD 135-200,Private car/taxi,Dormitory,University,University,1,Married,Government officer,Government officer,Less than 5 hours,Sometimes,Sometimes,Yes,Positive,Always,Alone,Closest date to the exam,Sometimes,Always,Sometimes,Useful,Less than 2.00,Less than 2.00,Seventh Semester,CC
STUDENT106,18-21,male,state,75%,Yes,Yes,No,USD 135-200,Bus,Rental,Secondary school,Secondary school,4,Married,Housewife,Self-employment,Less than 5 hours,Often,Sometimes,Yes,Positive,Sometimes,Alone,Regularly during the semester,Sometimes,Never,Always,Not useful,2.50-2.99,2.50-2.99,Seventh Semester,AA
STUDENT107,18-21,male,state,75%,No,Yes,No,USD 135-200,Bus,Dormitory,Secondary school,Secondary school,1,Married,Housewife,Retired,6-10 hours,Sometimes,Sometimes,Yes,Positive,Always,Not applicable,Regularly during the semester,Sometimes,Sometimes,Sometimes,Not useful,3.00-3.49,3.00-3.49,Seventh Semester,AA
STUDENT108,18-21,female,state,75%,Yes,Yes,No,USD 135-200,Bus,With family,Primary school,High school,5 or above,Married,Housewife,Self-employment,Less than 5 hours,Sometimes,Sometimes,Yes,Positive,Always,With friends,Closest date to the exam,Sometimes,Always,Sometimes,Not useful,3.00-3.49,2.00-2.49,Seventh Semester,BA
STUDENT109,22-25,female,private,Full,No,Yes,No,USD 201-270,Private car/taxi,Rental,Primary school,Secondary school,1,Died (one of them or both),Retired,Other,6-10 hours,Often,Sometimes,Yes,Positive,Sometimes,Alone,Closest date to the exam,Sometimes,Always,Never,Useful,2.50-2.99,2.50-2.99,Seventh Semester,BA
STUDENT110,18-21,male,private,50%,No,Yes,Yes,USD 135-200,Private car/taxi,Dormitory,University,University,2,Died (one of them or both),Housewife,Other,6-10 hours,Sometimes,Sometimes,Yes,Positive,Always,With friends,Regularly during the semester,Always,Sometimes,Always,Not useful,3.00-3.49,3.00-3.49,Seventh Semester,AA
STUDENT111,22-25,male,state,50%,No,No,No,USD 201-270,Other,Dormitory,University,University,2,Divorced,Retired,Other,Less than 5 hours,Sometimes,Sometimes,Yes,Positive,Sometimes,Alone,Closest date to the exam,Sometimes,Sometimes,Sometimes,Not useful,2.00-2.49,2.50-2.99,Eighth Semester,DC
STUDENT112,18-21,female,private,Full,No,Yes,No,USD 135-200,Bus,Dormitory,High school,High school,1,Married,Government officer,Government officer,None,Sometimes,Sometimes,No,Negative,Always,Alone,Closest date to the exam,Always,Never,Always,Not applicable,3.00-3.49,2.50-2.99,Eighth Semester,DC
STUDENT113,22-25,female,other,50%,Yes,No,No,USD 135-200,Bicycle,With family,Primary school,Primary school,2,Married,Housewife,Retired,None,None,None,No,Neutral,Always,With friends,Closest date to the exam,Always,Always,Always,Not useful,3.00-3.49,2.00-2.49,Eighth Semester,DC
STUDENT114,22-25,female,other,50%,No,No,No,USD 135-200,Other,Dormitory,University,University,1,Married,Government officer,Government officer,Less than 5 hours,Sometimes,Often,No,Neutral,Sometimes,With friends,Closest date to the exam,Sometimes,Sometimes,Never,Not useful,Less than 2.00,2.00-2.49,Eighth Semester,DD
STUDENT115,22-25,female,state,Full,Yes,Yes,No,USD 341-410,Bus,Rental,Primary school,Primary school,1,Married,Housewife,Retired,Less than 5 hours,Sometimes,Sometimes,No,Negative,Always,Alone,Closest date to the exam,Sometimes,Sometimes,Never,Useful,Less than 2.00,Less than 2.00,Eighth Semester,DC
STUDENT116,22-25,female,state,Full,Yes,No,Yes,USD 135-200,Bus,Rental,Primary school,Primary school,2,Married,Housewife,Government officer,6-10 hours,Often,Sometimes,No,Neutral,Always,With friends,Regularly during the semester,Always,Sometimes,Always,Useful,2.00-2.49,2.00-2.49,Eighth Semester,DD
STUDENT117,22-25,female,state,Full,No,No,No,USD 135-200,Bus,Rental,Primary school,Primary school,5 or above,Married,Housewife,Self-employment,6-10 hours,Often,Often,No,Positive,Always,Alone,Closest date to the exam,Always,Always,Always,Not useful,2.00-2.49,2.50-2.99,Eighth Semester,DD
STUDENT118,above 26,female,private,50%,No,Yes,No,USD 135-200,Bus,Dormitory,University,University,1,Married,Retired,Private sector employee,Less than 5 hours,Sometimes,Often,No,Positive,Sometimes,Alone,Closest date to the exam,Sometimes,Always,Sometimes,Not useful,2.00-2.49,2.50-2.99,Eighth Semester,DD
STUDENT119,18-21,male,state,Full,No,Yes,Yes,USD 135-200,Other,Dormitory,Primary school,Secondary school,3,Married,Private sector employee,Self-employment,None,Sometimes,Sometimes,Yes,Positive,Always,Not applicable,Closest date to the exam,Always,Always,Sometimes,Useful,2.50-2.99,2.50-2.99,Eighth Semester,DD
STUDENT120,22-25,female,state,75%,No,Yes,No,USD 135-200,Bus,Dormitory,High school,High school,2,Died (one of them or both),Housewife,Other,More than 20 hours,Sometimes,Sometimes,Yes,Positive,Always,Alone,Regularly during the semester,Sometimes,Sometimes,Always,Not useful,2.50-2.99,2.50-2.99,Eighth Semester,DC
STUDENT121,22-25,female,private,50%,Yes,Yes,Yes,USD 201-270,Private car/taxi,With family,High school,High school,2,Married,Government officer,Self-employment,None,None,None,Yes,Positive,Sometimes,With friends,Closest date to the exam,Always,Always,Always,Useful,2.00-2.49,2.00-2.49,Eighth Semester,DD
STUDENT122,22-25,female,state,50%,Yes,Yes,Yes,USD 135-200,Private car/taxi,Rental,Primary school,Primary school,5 or above,Died (one of them or both),Housewife,Self-employment,More than 20 hours,Often,Often,Yes,Neutral,Always,With friends,Closest date to the exam,Never,Never,Never,Not useful,Less than 2.00,Less than 2.00,Eighth Semester,Fail
STUDENT123,18-21,male,state,Full,No,Yes,No,USD 135-200,Bus,Rental,High school,High school,2,Married,Housewife,Retired,Less than 5 hours,None,Sometimes,Yes,Negative,Always,With friends,Closest date to the exam,Always,Sometimes,Sometimes,Not useful,3.00-3.49,2.50-2.99,Eighth Semester,DC
STUDENT124,22-25,female,other,50%,No,No,No,USD 271-340,Bus,Rental,High school,Secondary school,4,Married,Retired,Retired,Less than 5 hours,Sometimes,Often,No,Positive,Always,Alone,Closest date to the exam,Always,Always,Sometimes,Not useful,Less than 2.00,Less than 2.00,Eighth Semester,DD
STUDENT125,18-21,female,state,75%,Yes,Yes,Yes,USD 135-200,Bus,With family,Secondary school,High school,2,Married,Private sector employee,Private sector employee,11-20 hours,Sometimes,Sometimes,No,Positive,Always,With friends,Regularly during the semester,Always,Always,Sometimes,Not useful,2.50-2.99,2.50-2.99,Ninth Semester or later,CC
STUDENT126,18-21,female,state,Full,Yes,Yes,No,USD 135-200,Bus,With family,Primary school,Primary school,5 or above,Married,Housewife,Private sector employee,6-10 hours,Sometimes,Often,No,Positive,Always,Alone,Regularly during the semester,Always,Sometimes,Always,Not useful,Less than 2.00,2.50-2.99,Ninth Semester or later,DC
STUDENT127,18-21,female,private,75%,Yes,Yes,Yes,USD 271-340,Private car/taxi,With family,University,Ph.D.,2,Married,Private sector employee,Private sector employee,11-20 hours,Sometimes,Often,Yes,Positive,Always,With friends,Closest date to the exam,Always,Always,Always,Not useful,2.00-2.49,2.00-2.49,Ninth Semester or later,CC
STUDENT128,18-21,female,state,75%,No,No,No,USD 135-200,Other,With family,High school,Secondary school,2,Married,Government officer,Self-employment,Less than 5 hours,None,None,No,Positive,Always,Alone,Closest date to the exam,Always,Sometimes,Sometimes,Not useful,2.00-2.49,2.00-2.49,Ninth Semester or later,DD
STUDENT129,18-21,female,state,75%,No,Yes,Yes,USD 135-200,Other,With family,High school,University,2,Married,Private sector employee,Government officer,Less than 5 hours,None,None,No,Positive,Always,Alone,Closest date to the exam,Always,Sometimes,Sometimes,Not useful,2.00-2.49,2.00-2.49,Ninth Semester or later,Fail
STUDENT130,18-21,female,state,50%,Yes,Yes,No,USD 135-200,Bus,Rental,Primary school,Primary school,3,Married,Housewife,Self-employment,11-20 hours,Sometimes,Often,No,Positive,Always,With friends,Regularly during the semester,Always,Sometimes,Always,Useful,2.00-2.49,2.50-2.99,Ninth Semester or later,CC
STUDENT131,18-21,female,state,50%,Yes,Yes,No,USD 135-200,Bus,Rental,Primary school,Secondary school,3,Married,Housewife,Self-employment,11-20 hours,Sometimes,Sometimes,No,Positive,Always,Alone,Regularly during the semester,Always,Never,Always,Useful,2.00-2.49,2.50-2.99,Ninth Semester or later,DD
STUDENT132,18-21,female,private,Full,No,Yes,No,USD 135-200,Private car/taxi,Dormitory,University,High school,1,Married,Government officer,Government officer,11-20 hours,None,Often,No,Positive,Always,Alone,Regularly during the semester,Always,Sometimes,Always,Not useful,Above 3.49,2.50-2.99,Ninth Semester or later,CB
STUDENT133,18-21,female,private,Full,No,Yes,No,USD 135-200,Bus,Dormitory,Primary school,Secondary school,3,Married,Housewife,Retired,Less than 5 hours,Sometimes,Often,No,Positive,Always,With friends,Closest date to the exam,Always,Sometimes,Always,Not useful,Above 3.49,3.00-3.49,Ninth Semester or later,CC
STUDENT134,18-21,female,state,Full,No,No,Yes,USD 135-200,Bus,Rental,Primary school,Primary school,1,Married,Housewife,Private sector employee,6-10 hours,None,Sometimes,No,Positive,Always,Alone,Closest date to the exam,Always,Always,Always,Useful,Above 3.49,2.50-2.99,Ninth Semester or later,CC
STUDENT135,18-21,female,state,75%,No,Yes,No,USD 135-200,Private car/taxi,With family,Primary school,Primary school,2,Married,Private sector employee,Private sector employee,Less than 5 hours,Sometimes,Sometimes,No,Positive,Always,Alone,Closest date to the exam,Sometimes,Never,Sometimes,Not useful,2.00-2.49,2.50-2.99,Ninth Semester or later,DD
STUDENT136,22-25,female,state,50%,Yes,Yes,No,USD 135-200,Other,Dormitory,High school,High school,1,Married,Housewife,Retired,Less than 5 hours,Often,Sometimes,Yes,Neutral,Always,Alone,Closest date to the exam,Always,Always,Sometimes,Not useful,2.50-2.99,2.00-2.49,Ninth Semester or later,DC
STUDENT137,18-21,female,state,50%,Yes,Yes,Yes,USD 135-200,Private car/taxi,With family,High school,High school,3,Married,Government officer,Self-employment,Less than 5 hours,Sometimes,Sometimes,No,Positive,Always,Not applicable,Closest date to the exam,Always,Sometimes,Sometimes,Not useful,2.00-2.49,2.00-2.49,Ninth Semester or later,Fail
STUDENT138,18-21,female,private,Full,No,Yes,No,USD 135-200,Bus,Rental,Secondary school,Secondary school,2,Married,Housewife,Retired,Less than 5 hours,Sometimes,Sometimes,Yes,Positive,Always,Alone,Closest date to the exam,Always,Never,Always,Not useful,2.00-2.49,3.00-3.49,Ninth Semester or later,DC
STUDENT139,18-21,female,state,75%,Yes,Yes,Yes,above 410,Private car/taxi,With family,High school,Primary school,1,Divorced,Private sector employee,Other,Less than 5 hours,Sometimes,Often,No,Neutral,Always,With friends,Closest date to the exam,Always,Sometimes,Always,Not useful,Less than 2.00,2.50-2.99,Ninth Semester or later,Fail
STUDENT140,18-21,female,state,75%,Yes,No,Yes,USD 201-270,Private car/taxi,With family,High school,High school,1,Married,Self-employment,Self-employment,None,None,Sometimes,No,Positive,Sometimes,With friends,Closest date to the exam,Sometimes,Always,Sometimes,Not useful,Less than 2.00,2.00-2.49,Ninth Semester or later,Fail
STUDENT141,22-25,female,state,50%,Yes,Yes,No,USD 135-200,Bus,Dormitory,Primary school,Secondary school,2,Divorced,Housewife,Self-employment,6-10 hours,Often,Sometimes,Yes,Positive,Always,Alone,Closest date to the exam,Sometimes,Never,Sometimes,Not useful,2.50-2.99,2.50-2.99,Ninth Semester or later,BB
STUDENT142,18-21,female,state,75%,No,No,No,USD 135-200,Other,Dormitory,Primary school,Primary school,5 or above,Married,Housewife,Retired,6-10 hours,Sometimes,Sometimes,No,Positive,Sometimes,Alone,Closest date to the exam,Always,Sometimes,Sometimes,Not useful,Above 3.49,2.50-2.99,Ninth Semester or later,BB
STUDENT143,18-21,female,private,75%,No,No,No,USD 135-200,Bus,Rental,High school,University,4,Married,Housewife,Self-employment,Less than 5 hours,Sometimes,Sometimes,Yes,Positive,Always,Alone,Closest date to the exam,Always,Always,Sometimes,Not useful,3.00-3.49,2.50-2.99,Ninth Semester or later,DD
STUDENT144,22-25,female,state,75%,Yes,Yes,Yes,above 410,Private car/taxi,With family,University,University,1,Married,Government officer,Private sector employee,Less than 5 hours,Sometimes,None,Yes,Positive,Always,With friends,Closest date to the exam,Sometimes,Never,Sometimes,Not useful,Above 3.49,2.50-2.99,Ninth Semester or later,CB
STUDENT145,18-21,female,private,Full,No,No,No,USD 271-340,Bus,Rental,High school,Primary school,5 or above,Married,Housewife,Self-employment,6-10 hours,None,None,Yes,Positive,Always,With friends,Closest date to the exam,Always,Sometimes,Always,Not useful,Above 3.49,3.00-3.49,Ninth Semester or later,CC
